,AAPL,AXISBANK.NS,DRREDDY.NS,GOOGL,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LTTS.NS,MARUTI.NS,MSFT,NESTLEIND.NS,POWERGRID.NS,RELIANCE.NS,SHREECEM.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS,WIPRO.NS
AAPL,1.0,0.038105188964603035,0.04987792230957702,0.4283158538775383,0.10105298516081852,0.05016688343382417,0.07827652936832838,0.02280314064461766,0.040202908889942206,0.10041956315791298,0.04960136780137673,0.038757597839930914,0.10357988138766704,0.41669204802912374,-0.011570423325761506,0.06291492861079595,0.11297234273110093,0.05246908907134944,-0.002510964599286304,0.11002110802946723,0.04753184450444056,0.09023830474427577,0.006701711422792737
AXISBANK.NS,0.038105188964603035,1.0,0.23325985394169016,0.03656330622338748,0.5540348410873078,0.13288402423119805,0.5684478491277081,0.22347688212689795,0.23151868507254342,0.4563741648898619,0.38612402854708455,0.19240204340631425,0.3498173880743167,-0.024737897202998415,0.2561160874538133,0.31337217153733843,0.40642691175089485,0.3450015674467358,0.13998671338091814,0.4313487454274022,0.2115717342300907,0.45639453929059487,0.20075990619171494
DRREDDY.NS,0.04987792230957702,0.23325985394169016,1.0,0.002722730805184359,0.19080220375748555,0.07760895017982984,0.15649736161360103,0.21027073505145777,0.16380560183936282,0.30530658513370207,0.09282800961865897,0.18930796561222435,0.22738298041123156,0.050983962022681115,0.15690525332742386,0.20297287487939233,0.2608184652139506,0.16198391862604858,0.4287157823121037,0.31215075849119256,0.20443457969481338,0.26323610547260895,0.21800610207044963
GOOGL,0.4283158538775383,0.03656330622338748,0.002722730805184359,1.0,0.06346897855388497,0.03935990235738702,0.031020637184256163,0.07074694253268538,0.07326642926315982,0.03759316297867283,0.018220556989812155,0.05350708128712356,0.07412944538646715,0.4196723664761633,0.006677081694175255,0.03046980659856647,0.08777651394025056,0.06287836018562913,0.023390720608016346,0.11669890795980886,0.09697531137858831,0.06605667621086375,0.08134261622897715
HDFCBANK.NS,0.10105298516081852,0.5540348410873078,0.19080220375748555,0.06346897855388497,1.0,0.1526233785686841,0.5656916270052874,0.20470469771955477,0.2571072398212428,0.4236941733554903,0.4436321593616079,0.23553404912969897,0.3382987070503552,0.019488986869449037,0.19433323062123198,0.34901063499933,0.3977476121537918,0.39012144366341445,0.14997496051446457,0.3790326963476411,0.18630995824229837,0.4818095628564417,0.20483277747180428
HINDUNILVR.NS,0.05016688343382417,0.13288402423119805,0.07760895017982984,0.03935990235738702,0.1526233785686841,1.0,0.15221268242179867,0.15212272521451167,0.39612150611778096,0.15372500346801715,0.2354627766233365,0.20105641687839892,0.2500026083931406,0.06677553665691555,0.573309704079188,0.08101195520506765,0.15668519852648258,0.22295360728548583,0.10368029818568465,0.07587813708374437,0.18996818699338297,0.22877584346408725,0.044633400362291006
ICICIBANK.NS,0.07827652936832838,0.5684478491277081,0.15649736161360103,0.031020637184256163,0.5656916270052874,0.15221268242179867,1.0,0.20462228580565345,0.2413051044864925,0.4141622284822973,0.389776408121259,0.21652787148014324,0.2953240295237022,0.03725831689409169,0.22235538535235022,0.323635207980861,0.3489277343176001,0.37828305567411125,0.2218847692345103,0.3757743524577837,0.1826641147859193,0.47109448623894,0.21718337608579374
INFY.NS,0.02280314064461766,0.22347688212689795,0.21027073505145777,0.07074694253268538,0.20470469771955477,0.15212272521451167,0.20462228580565345,1.0,0.1302130407999616,0.27340705299583934,0.1763177956262763,0.3805559792284342,0.1870308934681484,0.1032019052058871,0.1502303408528018,0.14140199468586154,0.24151982753637904,0.19324154267796637,0.1566837983183139,0.21559908731157332,0.7358255212681754,0.19122017223983728,0.6214452652169945
ITC.NS,0.040202908889942206,0.23151868507254342,0.16380560183936282,0.07326642926315982,0.2571072398212428,0.39612150611778096,0.2413051044864925,0.1302130407999616,1.0,0.22940335537106749,0.26518581892703363,0.1783319663356657,0.25740430844411616,0.07285506295592718,0.3808084623762844,0.19168867191799524,0.3230949359215626,0.21741587576367727,0.16149938189097793,0.2005310807558845,0.16922140736308414,0.2689020833554589,0.12080699947464814
JSWSTEEL.NS,0.10041956315791298,0.4563741648898619,0.30530658513370207,0.03759316297867283,0.4236941733554903,0.15372500346801715,0.4141622284822973,0.27340705299583934,0.22940335537106749,1.0,0.3682913371042426,0.2695200409561562,0.39770441261520767,0.025711842639465403,0.2885085729412585,0.4504259317542607,0.43163288659292026,0.4380588333247986,0.30865681077478047,0.7534824244089272,0.25919104214934313,0.5447029194770393,0.3366236049828746
